"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2014.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2013.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2012.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2011.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2010.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";":";
2009.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2008.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2007.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2006.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2005.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";"0";
